original_path	missings_path
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_jupiter_noc_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_jupiter_noc_00_npu_tpu_01/npu_tpu.v	design/synthetic_deep_rtl/missings/000006.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_system_control_01/system_control.v	design/synthetic_deep_rtl/missings/000008.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_system_control_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_system_control_01_eth_400g_mac_00/eth_400g_mac.v	design/synthetic_deep_rtl/missings/000009.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_thermal_sensor_02/thermal_sensor.v	design/synthetic_deep_rtl/missings/000010.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_thermal_sensor_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_thermal_sensor_02_pcie_gen5_host_00/pcie_gen5_host.v	design/synthetic_deep_rtl/missings/000011.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_thermal_sensor_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_blackhole_core_02_thermal_sensor_02_uart_16550_01/uart_16550.v	design/synthetic_deep_rtl/missings/000012.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_dac_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_dac_00_apb_bridge_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_dac_00_apb_bridge_01_i2s_controller_00/i2s_controller.v	design/synthetic_deep_rtl/missings/000015.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_dac_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_dac_00_flash_ctrl_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_dac_00_flash_ctrl_00_power_domain_01/power_domain.v	design/synthetic_deep_rtl/missings/000019.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_cortex_a78_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_cortex_a78_00_core_complex_00/core_complex.v	design/synthetic_deep_rtl/missings/000022.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_cortex_a78_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_cortex_a78_00_timer_64bit_01/timer_64bit.v	design/synthetic_deep_rtl/missings/000023.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_dma_engine_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_dma_engine_02_aes_engine_02/aes_engine.v	design/synthetic_deep_rtl/missings/000026.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_dma_engine_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_dma_engine_02_lpddr5_ctrl_01/lpddr5_ctrl.v	design/synthetic_deep_rtl/missings/000027.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_video_codec_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_core_complex_01_pcie_gen4_00_axi_bus_00_isp_pipeline_00_debug_apb_01_video_codec_01_pwm_controller_00/pwm_controller.v	design/synthetic_deep_rtl/missings/000028.v
design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_video_codec_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_video_codec_00_power_domain_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_video_codec_00_power_domain_00_apb_bridge_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_video_codec_00_power_domain_00_apb_bridge_00_gpu_shader_cluster_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_video_codec_00_power_domain_00_apb_bridge_00_gpu_shader_cluster_01_cortex_a55_02/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_video_codec_00_power_domain_00_apb_bridge_00_gpu_shader_cluster_01_cortex_a55_02_axi_crossbar_02/axi_crossbar.v	design/synthetic_deep_rtl/missings/000034.v
