origin_port	trace_direction	boundary_kind	scope	net	module	detail	rtl	via_filelist	filelist_chain
a	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4	a	zz_d4	module input port in zz_d4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5.gj[0].gi[0].ff[0][0]	din	zz_ff_bit	module input port in zz_ff_bit	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	comb_w[0][0]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][1]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[0][1]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][2]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[0][2]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[0][3:0]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][3]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[0][3]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[1][0]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][1]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[1][1]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
