origin_port	trace_direction	boundary_kind	scope	net	module	detail	rtl	via_filelist	filelist_chain
a	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3	a	zz_r3	module input port in zz_r3	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4.gj[0].gi[0].ff[0][0]	din	zz_ff_bit	module input port in zz_ff_bit	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	comb_w[0][0]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][1]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[0][1]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][2]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[0][2]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[0][3:0]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[0][3]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[0][3]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[1][0]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][1]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[1][1]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
