origin_port	trace_direction	boundary_kind	scope	net	module	detail	rtl	via_filelist	filelist_chain
tap	sinker	port-out	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4	tap	zz_d4	module output port in zz_d4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
y	sinker	port-out	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4	y	zz_d4	module output port in zz_d4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
y[0][0]	sinker	port-out	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5.gj[0].gi[0].ff[0][0]	q	zz_ff_bit	module output port in zz_ff_bit	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# instance	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5
# module	zz_d5
# direction	sinker
# path_kind	comb
# port_traces	34
# instance_rtl	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v
# instance_via_filelist	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# instance_filelist_chain	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
