check_id	endpoint_a	endpoint_b	connected	mode	note	errors	hops	a_rtl	a_via_filelist	a_filelist_chain	b_rtl	b_via_filelist	b_filelist_chain
simple	top.clk	top.a	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
fanout->0	top.src	top.d0	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
fanout->1	top.src	top.d1	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
array[0]	top.a	top.bus_b[0]	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
array[1]	top.b	top.bus_b[1]	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
concat_str[0]	top.a	top.bus_b[1]	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
concat_str[4]	top.b	top.bus_b[0]	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_range[0]	top.tie0	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_range[1]	top.tie1	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_range[2]	top.tie2	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
