origin_port	trace_direction	boundary_kind	scope	net	module	detail	rtl	via_filelist	filelist_chain
clk	driver	port-in	stress_top.u_spine.u_d0_0	clk	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
clk	driver	port-in	stress_top.u_spine.u_d0_1	clk	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
clk	driver	port-in	stress_top.u_spine.u_d0_2	clk	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
clk	driver	port-in	stress_top.u_spine.u_d0_3	clk	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
clk	driver	port-in	stress_top.u_spine.u_d0_p	clk	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
clk	driver	port-in	stress_top.u_spine.u_spine	clk	stress_spine_1	module input port in stress_spine_1	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
clk	driver	port-in	stress_top.u_spine	clk	stress_spine_0	module input port in stress_spine_0	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
clk	driver	port-in	stress_top	clk	stress_top	module input port in stress_top	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
en_0	driver	port-in	stress_top.u_spine.u_spine	en_1	stress_spine_1	module input port in stress_spine_1	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
en_0	driver	port-in	stress_top.u_spine	en_0	stress_spine_0	module input port in stress_spine_0	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
probe_in	driver	port-in	stress_top.u_spine.u_spine	probe_in	stress_spine_1	module input port in stress_spine_1	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
probe_in	driver	port-in	stress_top.u_spine	link	stress_spine_0	module input port in stress_spine_0	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
probe_in	driver	port-in	stress_top	probe_in	stress_top	module input port in stress_top	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top.u_spine.u_d0_0	rst_n	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top.u_spine.u_d0_1	rst_n	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top.u_spine.u_d0_2	rst_n	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top.u_spine.u_d0_3	rst_n	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top.u_spine.u_d0_p	rst_n	stress_decoy	module input port in stress_decoy	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top.u_spine.u_spine	rst_n	stress_spine_1	module input port in stress_spine_1	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top.u_spine	rst_n	stress_spine_0	module input port in stress_spine_0	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
rst_n	driver	port-in	stress_top	rst_n	stress_top	module input port in stress_top	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
# instance	stress_top.u_spine
# module	stress_spine_0
# direction	driver
# path_kind	ff
# port_traces	4
# instance_rtl	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/stress_42_d8.v
# instance_via_filelist	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
# instance_filelist_chain	/home/user/tools/__CFI/hierwalk/examples/stress_seed42/filelist.f
