full_path	matched	module	depth	file	via_filelist	filelist_chain	stop_reason	kind	port	port_found	port_line	port_decl	port_param_note	path_chain
stress_top.u_d99_0	u_d99_0	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy		False	0			root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_0|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f
stress_top.u_d99_0.probe_out	probe_out	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy-port-miss	probe_out	False	0		path-refined; port not found: 'probe_out' on stress_decoy (/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v); declared ports (3): clk, noise, rst_n	root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_0|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f;port|probe_out|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|
stress_top.u_d99_1	u_d99_1	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy		False	0			root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_1|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f
stress_top.u_d99_1.probe_out	probe_out	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy-port-miss	probe_out	False	0		path-refined; port not found: 'probe_out' on stress_decoy (/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v); declared ports (3): clk, noise, rst_n	root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_1|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f;port|probe_out|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|
stress_top.u_d99_2	u_d99_2	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy		False	0			root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_2|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f
stress_top.u_d99_2.probe_out	probe_out	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy-port-miss	probe_out	False	0		path-refined; port not found: 'probe_out' on stress_decoy (/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v); declared ports (3): clk, noise, rst_n	root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_2|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f;port|probe_out|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|
stress_top.u_d99_3	u_d99_3	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy		False	0			root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_3|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f
stress_top.u_d99_3.probe_out	probe_out	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy-port-miss	probe_out	False	0		path-refined; port not found: 'probe_out' on stress_decoy (/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v); declared ports (3): clk, noise, rst_n	root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_3|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f;port|probe_out|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|
stress_top.u_d99_p	u_d99_p	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy		False	0			root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_p|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f
stress_top.u_d99_p.probe_out	probe_out	stress_decoy	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy-port-miss	probe_out	False	0		path-refined; port not found: 'probe_out' on stress_decoy (/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v); declared ports (3): clk, noise, rst_n	root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_d99_p|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f;port|probe_out|stress_decoy|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|
stress_top.u_spine	u_spine	stress_spine_0	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		instance		False	0			root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_spine|stress_spine_0|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f
stress_top.u_spine.probe_out	probe_out	stress_spine_0	1	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f	/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f		hierarchy-port	probe_out	True	33	output logic probe_out	path-refined; resolved	root|stress_top|stress_top|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|;instance|u_spine|stress_spine_0|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f;port|probe_out|stress_spine_0|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/stress_42_d8.v||33|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|/home/user/tools/__CFI/scan_inst/examples/stress_seed42/filelist.f|
